student_id,student_name,gender,department,account,password,group_no,dept_no
2021A0000001,周子轩,男,学院A,A202100001,123456,10,A
2021A0000002,顾雨桐,女,学院A,A202100002,123456,10,A
2021A0000003,沈嘉豪,男,学院A,A202100003,123456,10,A
2021A0000004,许梦瑶,女,学院A,A202100004,123456,10,A
2021A0000005,陆辰逸,男,学院A,A202100005,123456,10,A
2021A0000006,宋语涵,女,学院A,A202100006,123456,10,A
2021A0000007,韩宇航,男,学院A,A202100007,123456,10,A
2021A0000008,唐欣怡,女,学院A,A202100008,123456,10,A
2021A0000009,邵文博,男,学院A,A202100009,123456,10,A
2021A0000010,任可馨,女,学院A,A202100010,123456,10,A
2021A0000011,程浩然,男,学院A,A202100011,123456,10,A
2021A0000012,袁若曦,女,学院A,A202100012,123456,10,A
2021A0000013,彭书远,男,学院A,A202100013,123456,10,A
2021A0000014,陶思雨,女,学院A,A202100014,123456,10,A
2021A0000015,魏承泽,男,学院A,A202100015,123456,10,A
2021A0000016,姜依诺,女,学院A,A202100016,123456,10,A
2021A0000017,卢景行,男,学院A,A202100017,123456,10,A
2021A0000018,崔嘉宁,女,学院A,A202100018,123456,10,A
2021A0000019,丁昊宇,男,学院A,A202100019,123456,10,A
2021A0000020,范诗涵,女,学院A,A202100020,123456,10,A
2021A0000021,郝铭轩,男,学院A,A202100021,123456,10,A
2021A0000022,汪若彤,女,学院A,A202100022,123456,10,A
2021A0000023,贺俊驰,男,学院A,A202100023,123456,10,A
2021A0000024,康语晴,女,学院A,A202100024,123456,10,A
2021A0000025,钱思远,男,学院A,A202100025,123456,10,A
2021A0000026,夏书妍,女,学院A,A202100026,123456,10,A
2021A0000027,严博文,男,学院A,A202100027,123456,10,A
2021A0000028,易芷涵,女,学院A,A202100028,123456,10,A
2021A0000029,乔弘毅,男,学院A,A202100029,123456,10,A
2021A0000030,白欣悦,女,学院A,A202100030,123456,10,A
2021A0000031,孔睿哲,男,学院A,A202100031,123456,10,A
2021A0000032,龙雨薇,女,学院A,A202100032,123456,10,A
2021A0000033,武嘉佑,男,学院A,A202100033,123456,10,A
2021A0000034,赖清妍,女,学院A,A202100034,123456,10,A
2021A0000035,段晨阳,男,学院A,A202100035,123456,10,A
2021A0000036,黎若溪,女,学院A,A202100036,123456,10,A
2021A0000037,史泽楷,男,学院A,A202100037,123456,10,A
2021A0000038,苏语嫣,女,学院A,A202100038,123456,10,A
2021A0000039,龚天佑,男,学院A,A202100039,123456,10,A
2021A0000040,赖心怡,女,学院A,A202100040,123456,10,A
2021A0000041,万俊熙,男,学院A,A202100041,123456,10,A
2021A0000042,金若琳,女,学院A,A202100042,123456,10,A
2021A0000043,孟星宇,男,学院A,A202100043,123456,10,A
2021A0000044,石婉清,女,学院A,A202100044,123456,10,A
2021A0000045,邱哲瀚,男,学院A,A202100045,123456,10,A
2021A0000046,阮思琪,女,学院A,A202100046,123456,10,A
2021A0000047,侯明轩,男,学院A,A202100047,123456,10,A
2021A0000048,江语柔,女,学院A,A202100048,123456,10,A
2021A0000049,雷浩宇,男,学院A,A202100049,123456,10,A
2021A0000050,杜安然,女,学院A,A202100050,123456,10,A
2022B0001,方明远,男,机械工程,2022B0001,123456,10,B
2022B0002,秦雨桐,女,材料成型,2022B0002,123456,10,B
2022B0003,陆景行,男,能源动力,2022B0003,123456,10,B
2022B0004,韩若溪,女,自动化,2022B0004,123456,10,B
2022B0005,许子墨,男,化学工程,2022B0005,123456,10,B
2022B0006,郭心怡,女,建环工程,2022B0006,123456,10,B
2022B0007,曹文昊,男,机械工程,2022B0007,123456,10,B
2022B0008,侯可欣,女,材料成型,2022B0008,123456,10,B
2022B0009,魏景曜,男,能源动力,2022B0009,123456,10,B
2022B0010,孟清妍,女,自动化,2022B0010,123456,10,B
2022B0011,邓知秋,男,化学工程,2022B0011,123456,10,B
2022B0012,傅一诺,女,建环工程,2022B0012,123456,10,B
2022B0013,吕书瑶,男,机械工程,2022B0013,123456,10,B
2022B0014,董思琪,女,材料成型,2022B0014,123456,10,B
2022B0015,萧以恒,男,能源动力,2022B0015,123456,10,B
2022B0016,程从安,女,自动化,2022B0016,123456,10,B
2022B0017,卢云舟,男,化学工程,2022B0017,123456,10,B
2022B0018,蒋念初,女,建环工程,2022B0018,123456,10,B
2022B0019,袁时雨,男,机械工程,2022B0019,123456,10,B
2022B0020,丁知予,女,材料成型,2022B0020,123456,10,B
2022B0021,叶行简,男,能源动力,2022B0021,123456,10,B
2022B0022,魏子期,女,自动化,2022B0022,123456,10,B
2022B0023,雷景明,男,化学工程,2022B0023,123456,10,B
2022B0024,孔月华,女,建环工程,2022B0024,123456,10,B
2022B0025,武子昂,男,机械工程,2022B0025,123456,10,B
2022B0026,田如霜,女,材料成型,2022B0026,123456,10,B
2022B0027,姜以墨,男,能源动力,2022B0027,123456,10,B
2022B0028,白静姝,女,自动化,2022B0028,123456,10,B
2022B0029,崔慕白,男,化学工程,2022B0029,123456,10,B
2022B0030,乔安澜,女,建环工程,2022B0030,123456,10,B
2022B0031,史柏舟,男,机械工程,2022B0031,123456,10,B
2022B0032,苏如琢,女,材料成型,2022B0032,123456,10,B
2022B0033,龚子衡,男,能源动力,2022B0033,123456,10,B
2022B0034,钱行舟,女,自动化,2022B0034,123456,10,B
2022B0035,万从玉,男,化学工程,2022B0035,123456,10,B
2022B0036,金知微,女,建环工程,2022B0036,123456,10,B
2022B0037,龙景曜,男,机械工程,2022B0037,123456,10,B
2022B0038,段文茵,女,材料成型,2022B0038,123456,10,B
2022B0039,黎承宇,男,能源动力,2022B0039,123456,10,B
2022B0040,易向晚,女,自动化,2022B0040,123456,10,B
2022B0041,邵知夏,男,化学工程,2022B0041,123456,10,B
2022B0042,任从周,女,建环工程,2022B0042,123456,10,B
2022B0043,江景行,男,机械工程,2022B0043,123456,10,B
2022B0044,范清欢,女,材料成型,2022B0044,123456,10,B
2022B0045,薛子墨,男,能源动力,2022B0045,123456,10,B
2022B0046,严若琳,女,自动化,2022B0046,123456,10,B
2022B0047,夏知宁,女,化学工程,2022B0047,123456,10,B
2022B0048,曾以恒,男,建环工程,2022B0048,123456,10,B
2022B0049,彭子谦,女,机械工程,2022B0049,123456,10,B
2022B0050,涂景曜,男,材料成型,2022B0050,123456,10,B
202300001,张晨,男,软件工程,202300001,123456,10,C
202300002,李浩,女,软件工程,202300002,123456,10,C
202300003,王磊,男,软件工程,202300003,123456,10,C
202300004,刘洋,女,软件工程,202300004,123456,10,C
202300005,陈杰,男,软件工程,202300005,123456,10,C
202300006,杨帆,女,软件工程,202300006,123456,10,C
202300007,赵敏,男,软件工程,202300007,123456,10,C
202300008,黄涛,女,软件工程,202300008,123456,10,C
202300009,周静,男,软件工程,202300009,123456,10,C
202300010,吴迪,女,软件工程,202300010,123456,10,C
202300011,徐婷,男,软件工程,202300011,123456,10,C
202300012,孙凯,女,软件工程,202300012,123456,10,C
202300013,胡颖,男,软件工程,202300013,123456,10,C
202300014,朱琳,女,软件工程,202300014,123456,10,C
202300015,高飞,男,软件工程,202300015,123456,10,C
202300016,林雪,女,软件工程,202300016,123456,10,C
202300017,何强,男,软件工程,202300017,123456,10,C
202300018,郭丹,女,软件工程,202300018,123456,10,C
202300019,马超,男,软件工程,202300019,123456,10,C
202300020,罗倩,女,软件工程,202300020,123456,10,C
202300021,梁宇,男,软件工程,202300021,123456,10,C
202300022,宋佳,女,软件工程,202300022,123456,10,C
202300023,郑伟,男,软件工程,202300023,123456,10,C
202300024,谢娜,女,软件工程,202300024,123456,10,C
202300025,韩磊,男,软件工程,202300025,123456,10,C
202300026,唐静,女,软件工程,202300026,123456,10,C
202300027,冯晨,男,软件工程,202300027,123456,10,C
202300028,于婷,女,软件工程,202300028,123456,10,C
202300029,董浩,男,软件工程,202300029,123456,10,C
202300030,萧雨,女,软件工程,202300030,123456,10,C
202300031,程远,男,软件工程,202300031,123456,10,C
202300032,曹颖,女,软件工程,202300032,123456,10,C
202300033,袁杰,男,软件工程,202300033,123456,10,C
202300034,邓丽,女,软件工程,202300034,123456,10,C
202300035,许峰,男,软件工程,202300035,123456,10,C
202300036,傅雪,女,软件工程,202300036,123456,10,C
202300037,沈航,男,软件工程,202300037,123456,10,C
202300038,曾敏,女,软件工程,202300038,123456,10,C
202300039,彭凯,男,软件工程,202300039,123456,10,C
202300040,吕倩,女,软件工程,202300040,123456,10,C
202300041,苏晨,男,软件工程,202300041,123456,10,C
202300042,卢静,女,软件工程,202300042,123456,10,C
202300043,蒋涛,男,软件工程,202300043,123456,10,C
202300044,蔡颖,女,软件工程,202300044,123456,10,C
202300045,贾宁,男,软件工程,202300045,123456,10,C
202300046,丁一,女,软件工程,202300046,123456,10,C
202300047,魏琳,男,软件工程,202300047,123456,10,C
202300048,薛峰,女,软件工程,202300048,123456,10,C
202300049,叶倩,男,软件工程,202300049,123456,10,C
202300050,阎博,女,软件工程,202300050,123456,10,C
11A20240001,A院学生01,M,计算机科学,A20240001,123456,11,A
11A20240002,A院学生02,F,信息安全,A20240002,123456,11,A
11A20240003,A院学生03,M,软件工程,A20240003,123456,11,A
